================================================== ====================
Name                                               RGB value
honeydew3                                          c1/cd/c1
honeydew2                                          e0/ee/e0
midnightblue                                       19/19/70
honeydew1                                          f0/ff/f0
light slate grey                                   77/88/99
deeppink4                                          8b/0a/50
deeppink3                                          cd/10/76
grey9                                              17/17/17
deeppink2                                          ee/12/89
deeppink1                                          ff/14/93
light cyan                                         e0/ff/ff
light slate gray                                   77/88/99
gray9                                              17/17/17
grey8                                              14/14/14
light steel blue                                   b0/c4/de
grey7                                              12/12/12
dark turquoise                                     00/ce/d1
mintcream                                          f5/ff/fa
gray8                                              14/14/14
gray7                                              12/12/12
grey49                                             7d/7d/7d
grey39                                             63/63/63
grey29                                             4a/4a/4a
grey19                                             30/30/30
moccasin                                           ff/e4/b5
gray49                                             7d/7d/7d
gray39                                             63/63/63
grey48                                             7a/7a/7a
grey38                                             61/61/61
gray29                                             4a/4a/4a
gray19                                             30/30/30
grey28                                             47/47/47
grey18                                             2e/2e/2e
grey47                                             78/78/78
grey37                                             5e/5e/5e
lightgoldenrodyellow                               fa/fa/d2
grey27                                             45/45/45
grey17                                             2b/2b/2b
gray48                                             7a/7a/7a
gray38                                             61/61/61
gray28                                             47/47/47
gray18                                             2e/2e/2e
gray47                                             78/78/78
gray37                                             5e/5e/5e
gray27                                             45/45/45
gray17                                             2b/2b/2b
khaki                                              f0/e6/8c
antiquewhite                                       fa/eb/d7
violet red                                         d0/20/90
mint cream                                         f5/ff/fa
darkorchid                                         99/32/cc
darkorchid4                                        68/22/8b
darkorchid3                                        9a/32/cd
darkorchid2                                        b2/3a/ee
darkorchid1                                        bf/3e/ff
navy blue                                          00/00/80
grey6                                              0f/0f/0f
yellow green                                       9a/cd/32
gray6                                              0f/0f/0f
lightpink4                                         8b/5f/65
lightpink3                                         cd/8c/95
lightpink2                                         ee/a2/ad
lightpink1                                         ff/ae/b9
antiquewhite4                                      8b/83/78
antiquewhite3                                      cd/c0/b0
antiquewhite2                                      ee/df/cc
antiquewhite1                                      ff/ef/db
grey46                                             75/75/75
grey36                                             5c/5c/5c
grey26                                             42/42/42
grey16                                             29/29/29
pale turquoise                                     af/ee/ee
grey5                                              0d/0d/0d
gray46                                             75/75/75
gray36                                             5c/5c/5c
yellow                                             ff/ff/00
gray26                                             42/42/42
gray16                                             29/29/29
medium slate blue                                  7b/68/ee
gray5                                              0d/0d/0d
lavenderblush4                                     8b/83/86
lavenderblush3                                     cd/c1/c5
lavenderblush2                                     ee/e0/e5
lavenderblush1                                     ff/f0/f5
floral white                                       ff/fa/f0
medium orchid                                      ba/55/d3
mediumturquoise                                    48/d1/cc
mediumaquamarine                                   66/cd/aa
light sky blue                                     87/ce/fa
hotpink4                                           8b/3a/62
hotpink3                                           cd/60/90
hotpink2                                           ee/6a/a7
hotpink1                                           ff/6e/b4
grey45                                             73/73/73
grey35                                             59/59/59
grey25                                             40/40/40
grey15                                             26/26/26
